FacilityID,Name,FacilityType,Town,State,Latitude,Longitude,OpeningHours,Parking,ParkingAccessible,Accessible,BabyChange,BabyCareRoom,DumpPoint,Shower,DrinkingWater,MLAK24,PaymentRequired,Is_24_Hour
2473,Bus Station,Bus station,Esperance,WA,-33.85877667,121.89390718,OPEN: 24 hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2474,Museum Park - Period Village,Park or reserve,Esperance,WA,-33.85727105,121.89556083,OPEN: Daylight hours,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2475,Tanker Jetty,Jetty,Chadwick,WA,-33.8522439,121.90084136,OPEN: Daylight hours,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2476,Castletown Beach,Beach,Castletown,WA,-33.83762487,121.9163065,OPEN: 24 hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
2477,Lions Park,Park or reserve,Castletown,WA,-33.83621254,121.9102831,OPEN: Daylight hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2478,Ports Oval,Sporting facility,Esperance,WA,-33.85565408,121.8841545,OPEN: Variable hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2479,Netball Court,Sporting facility,Esperance,WA,-33.85412989,121.88615441,OPEN: 24 hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
2480,Esperence Oval,Sporting facility,Sinclair,WA,-33.85928945,121.87967975,OPEN: Daylight hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2481,Cemetery,Cemetery,Pink Lake,WA,-33.85407643,121.86428904,OPEN: Variable hours,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2483,Summy's Park,Park or reserve,Bandy Creek,WA,-33.8314441,121.93180581,OPEN: 24 hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2484,Bandy Creek Boat Harbour,Park or reserve,Bandy Creek,WA,-33.83085805,121.93593755,OPEN: 24 hours,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2485,Twilight Beach,Beach,Dalyup,WA,-33.89523325,121.8216034,OPEN: 24 hours,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
2486,Esperance Airport,Airport,Gibson,WA,-33.68273738,121.83032545,OPEN: Variable hours,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2489,Grass Patch Hall,Other,Grass Patch,WA,-33.2288198,121.71161527,OPEN: Variable hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2490,Salmon Gums Hall,Community building,Salmon Gums,WA,-32.9818875,121.64426571,OPEN: 24 hours,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2491,Condingup Football Reserve,Car park,Condingup,WA,-33.75113108,122.52958105,OPEN: Daylight hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
